block_id,slice_id,filename,tree_pos,slice_number
B2,111257585,slice_177.png,176,814
B2,111257589,slice_178.png,177,818
B2,111257593,slice_179.png,178,822
B2,111257597,slice_180.png,179,826
B2,111257601,slice_181.png,180,830
B2,111257605,slice_182.png,181,834
B2,111257609,slice_183.png,182,838
B2,111257613,slice_184.png,183,842
B2,111257617,slice_185.png,184,846
B2,111257621,slice_186.png,185,850
B2,111257625,slice_187.png,186,854
B2,111257629,slice_188.png,187,858
B2,111257633,slice_189.png,188,862
B2,111257637,slice_190.png,189,866
B2,111257645,slice_191.png,190,874
B2,111257649,slice_192.png,191,878
B2,111257654,slice_193.png,192,882
B2,111257658,slice_194.png,193,886
B2,111257662,slice_195.png,194,890
B2,111257666,slice_196.png,195,894
B2,111257670,slice_197.png,196,898
B2,111257674,slice_198.png,197,902
B2,111257678,slice_199.png,198,906
B2,111257682,slice_200.png,199,910
B2,111257686,slice_201.png,200,914
B2,111257690,slice_202.png,201,918
B2,111257694,slice_203.png,202,922
B2,111257698,slice_204.png,203,926
B2,111257702,slice_205.png,204,930
B2,111257706,slice_206.png,205,934
B2,111257710,slice_207.png,206,938
B2,111257714,slice_208.png,207,942
B2,111257718,slice_209.png,208,946
B2,111257722,slice_210.png,209,950
B2,111257726,slice_211.png,210,954
B2,111257730,slice_212.png,211,958
B2,111257734,slice_213.png,212,962
B2,111257741,slice_214.png,213,966
B2,111257748,slice_215.png,214,970
B2,111257752,slice_216.png,215,974
B2,111257757,slice_217.png,216,978
B2,111257764,slice_218.png,217,982
B2,111257782,slice_219.png,218,994
B2,111257777,slice_220.png,219,990
B2,111257773,slice_221.png,220,986
B2,111257797,slice_222.png,221,1006
B2,111257803,slice_223.png,222,1010
B2,111257811,slice_224.png,223,1018
B2,111257820,slice_225.png,224,1022
B2,111257793,slice_226.png,225,1002
B2,111257837,slice_227.png,226,1030
B2,111257829,slice_228.png,227,1026
B2,111257807,slice_229.png,228,1014
B2,111257841,slice_230.png,229,1034
B2,111257845,slice_231.png,230,1038
B2,111257849,slice_232.png,231,1042
B2,111257853,slice_233.png,232,1046
B2,111257857,slice_234.png,233,1050
B2,111257861,slice_235.png,234,1054
B2,111257865,slice_236.png,235,1058
B2,111257869,slice_237.png,236,1062
B2,111257873,slice_238.png,237,1066
B2,111257877,slice_239.png,238,1070
B2,111257881,slice_240.png,239,1074
B2,111257885,slice_241.png,240,1078
B2,111257889,slice_242.png,241,1082
B2,112282563,slice_243.png,242,1089
B2,112282567,slice_244.png,243,1101
B2,112282543,slice_245.png,244,1105
B2,112282571,slice_246.png,245,1109
B2,112282575,slice_247.png,246,1113
B2,112282579,slice_248.png,247,1117
B2,112282583,slice_249.png,248,1121
B2,112282591,slice_250.png,249,1129
B2,112282595,slice_251.png,250,1133
B2,112282599,slice_252.png,251,1137
B2,112282603,slice_253.png,252,1141
B2,112282607,slice_254.png,253,1145
B2,112282611,slice_255.png,254,1149
B2,112282615,slice_256.png,255,1153
B2,112282623,slice_257.png,256,1161
B2,112282627,slice_258.png,257,1165
B2,112282631,slice_259.png,258,1169
B2,112282635,slice_260.png,259,1173
B2,112282639,slice_261.png,260,1177
B2,112282647,slice_262.png,261,1185
B2,112282651,slice_263.png,262,1189
B2,112282667,slice_264.png,263,1209
B2,112282659,slice_265.png,264,1197
B2,112282663,slice_266.png,265,1201
B2,112282695,slice_267.png,266,1245
B2,112282671,slice_268.png,267,1213
B2,112282675,slice_269.png,268,1217
B2,112282679,slice_270.png,269,1221
B2,112282687,slice_271.png,270,1229
B2,112282683,slice_272.png,271,1225
B2,112282555,slice_273.png,272,1241
B2,112282699,slice_274.png,273,1249
B2,112282703,slice_275.png,274,1253
B2,112282559,slice_276.png,275,1257
B2,112282707,slice_277.png,276,1261
B2,112282715,slice_278.png,277,1273
B2,112282719,slice_279.png,278,1277
B2,112282723,slice_280.png,279,1281
B2,112282727,slice_281.png,280,1285
B2,112282731,slice_282.png,281,1289
B2,112282735,slice_283.png,282,1293
B2,112282739,slice_284.png,283,1297
B2,112282743,slice_285.png,284,1301
B2,112282747,slice_286.png,285,1305
B2,112282751,slice_287.png,286,1309
B2,112282755,slice_288.png,287,1313
B2,112282759,slice_289.png,288,1317
B2,112282763,slice_290.png,289,1321
B2,112282767,slice_291.png,290,1325
B2,112282771,slice_292.png,291,1329
B2,112282775,slice_293.png,292,1333
B2,112282779,slice_294.png,293,1337
B2,112282783,slice_295.png,294,1341
B2,112282787,slice_296.png,295,1345
B2,112282791,slice_297.png,296,1349
B2,112282795,slice_298.png,297,1353
B2,112282799,slice_299.png,298,1357
B2,112282803,slice_300.png,299,1361
B2,112282807,slice_301.png,300,1365
B2,112282811,slice_302.png,301,1369
B2,112282815,slice_303.png,302,1373
B2,112282819,slice_304.png,303,1377
B2,112282823,slice_305.png,304,1381
B2,112282827,slice_306.png,305,1385
B2,112282839,slice_307.png,306,1397
B2,112282831,slice_308.png,307,1389
B2,112282843,slice_309.png,308,1401
B2,112282847,slice_310.png,309,1405
B2,112282851,slice_311.png,310,1409
B2,112282855,slice_312.png,311,1413
B2,112282859,slice_313.png,312,1417
B2,112282867,slice_314.png,313,1425
B2,112282863,slice_315.png,314,1421
B2,112282835,slice_316.png,315,1393
B2,112282871,slice_317.png,316,1429
B3,112360997,slice_318.png,317,1444
B3,112360993,slice_319.png,318,1448
B3,112360989,slice_320.png,319,1452
B3,112360985,slice_321.png,320,1456
B3,112360981,slice_322.png,321,1460
B3,112360977,slice_323.png,322,1464
B3,112360973,slice_324.png,323,1468
B3,112360969,slice_325.png,324,1472
B3,112360965,slice_326.png,325,1476
B3,112360961,slice_327.png,326,1480
B3,112360957,slice_328.png,327,1484
B3,112360953,slice_329.png,328,1488
B3,112360949,slice_330.png,329,1492
B3,112360945,slice_331.png,330,1496
B3,112360941,slice_332.png,331,1500
B3,112360937,slice_333.png,332,1504
B3,112360933,slice_334.png,333,1508
B3,112360929,slice_335.png,334,1512
B3,112360925,slice_336.png,335,1516
B3,112360921,slice_337.png,336,1520
B3,112360917,slice_338.png,337,1524
B3,112360908,slice_339.png,338,1532
B3,112360913,slice_340.png,339,1528
B3,112360904,slice_341.png,340,1536
B3,112360900,slice_342.png,341,1540
B3,112360892,slice_343.png,342,1548
B3,112360888,slice_344.png,343,1552
B3,112360884,slice_345.png,344,1556
B3,112360879,slice_346.png,345,1560
B3,112360875,slice_347.png,346,1564
B3,112360871,slice_348.png,347,1568
B3,112360865,slice_349.png,348,1572
B3,112360861,slice_350.png,349,1576
B3,112360857,slice_351.png,350,1580
B3,112360853,slice_352.png,351,1584
B3,112360849,slice_353.png,352,1588
B3,112360845,slice_354.png,353,1592
B3,112360837,slice_355.png,354,1600
B3,112360833,slice_356.png,355,1604
