block_id,slice_id,filename,tree_pos,slice_number
B1,102282337,slice_001.png,000,36
B1,102282338,slice_002.png,001,44
B1,102282366,slice_003.png,005,60
B1,102282356,slice_004.png,006,68
B1,102282344,slice_005.png,007,76
B1,102282355,slice_006.png,010,92
B1,102282343,slice_007.png,011,100
B1,102282365,slice_008.png,012,108
B1,102282354,slice_009.png,014,116
B1,102282342,slice_010.png,016,124
B1,102282364,slice_011.png,018,132
B1,102282341,slice_012.png,021,148
B1,102282363,slice_013.png,023,156
B1,102282352,slice_014.png,025,164
B1,102282340,slice_015.png,027,172
B1,102282362,slice_016.png,029,180
B1,102282351,slice_017.png,031,188
B1,102282339,slice_018.png,033,196
B1,102282350,slice_019.png,037,212
B1,102282370,slice_020.png,040,228
B1,102282360,slice_021.png,042,236
B1,102282348,slice_022.png,044,244
B1,102282369,slice_023.png,046,252
B1,102282359,slice_024.png,048,260
B1,102282368,slice_025.png,052,276
B1,102282358,slice_026.png,054,284
B1,102282367,slice_027.png,058,300
B1,102282357,slice_028.png,060,308
B1,102282388,slice_029.png,064,323
B1,102293562,slice_030.png,065,331
B1,102293563,slice_031.png,067,339
B1,102282378,slice_032.png,069,347
B1,102282412,slice_033.png,071,355
B1,102282396,slice_034.png,073,363
B1,102282377,slice_035.png,075,371
B1,102282411,slice_036.png,077,379
B1,102282395,slice_037.png,079,387
B1,102282376,slice_038.png,081,395
B1,102282410,slice_039.png,083,403
B1,102282394,slice_040.png,085,411
B1,102282375,slice_041.png,087,419
B1,102282409,slice_042.png,089,427
B1,102282393,slice_043.png,091,435
B1,102282374,slice_044.png,093,443
B1,102282408,slice_045.png,095,451
B1,102282373,slice_046.png,099,467
B1,102282407,slice_047.png,101,475
B1,102282391,slice_048.png,103,483
B1,102282372,slice_049.png,105,491
B1,102282406,slice_050.png,107,499
B1,102282390,slice_051.png,109,507
B1,102282371,slice_052.png,111,515
B1,102282405,slice_053.png,113,523
B1,102282389,slice_054.png,115,531
B1,102282387,slice_055.png,117,539
B1,102282420,slice_056.png,119,547
B1,102282386,slice_057.png,123,563
B1,102282419,slice_058.png,125,571
B1,102282403,slice_059.png,127,579
B1,102282418,slice_060.png,131,595
B1,102282402,slice_061.png,132,603
B1,102282384,slice_062.png,134,611
B1,102282417,slice_063.png,136,619
B1,102282401,slice_064.png,138,627
B1,102282383,slice_065.png,140,635
B1,102282416,slice_066.png,142,643
B1,102282400,slice_067.png,144,651
B1,102282382,slice_068.png,146,659
B1,102282415,slice_069.png,148,667
B1,102282381,slice_070.png,152,683
B1,102282414,slice_071.png,154,691
B1,102282398,slice_072.png,156,699
B1,102282380,slice_073.png,158,707
B1,102282413,slice_074.png,160,715
B1,102282397,slice_075.png,162,723
B1,102282379,slice_076.png,164,731
B2,153511460,slice_077.png,166,771
B2,153511456,slice_078.png,169,787
B2,153511451,slice_079.png,171,795
B2,153511447,slice_080.png,173,803
B2,153511443,slice_081.png,175,811
B2,153511438,slice_082.png,177,819
B2,153511434,slice_083.png,179,827
B2,153511430,slice_084.png,181,835
B2,153511308,slice_085.png,183,843
B2,153511426,slice_086.png,185,851
B2,153511422,slice_087.png,187,859
B2,153511418,slice_088.png,189,867
B2,153511414,slice_089.png,190,875
B2,153511410,slice_090.png,192,883
B2,153511406,slice_091.png,194,891
B2,153511304,slice_092.png,198,907
B2,153511394,slice_093.png,202,923
B2,153511390,slice_094.png,204,931
B2,153511386,slice_095.png,206,939
B2,153511382,slice_096.png,208,947
B2,153511378,slice_097.png,210,955
B2,153511373,slice_098.png,212,963
B2,153511367,slice_099.png,214,971
B2,153511316,slice_100.png,216,979
B2,153511362,slice_101.png,218,987
B2,153511357,slice_102.png,220,995
B2,153511353,slice_103.png,221,1003
B2,153511349,slice_104.png,223,1011
B2,153511345,slice_105.png,225,1019
B2,153511341,slice_106.png,227,1027
B2,153511337,slice_107.png,229,1035
B2,153511312,slice_108.png,231,1043
B2,153511333,slice_109.png,233,1051
B2,153511329,slice_110.png,235,1059
B2,153511325,slice_111.png,237,1067
B2,146993265,slice_112.png,245,1110
B2,146993261,slice_113.png,247,1118
B2,146993285,slice_114.png,249,1126
B2,146993257,slice_115.png,250,1134
B2,146993277,slice_116.png,254,1150
B2,146993249,slice_117.png,257,1166
B2,146993241,slice_118.png,261,1182
B2,146993233,slice_119.png,263,1198
B2,146993221,slice_120.png,268,1222
B2,146993273,slice_121.png,270,1230
B2,146993217,slice_122.png,271,1238
B2,146993213,slice_123.png,272,1246
B2,146993209,slice_124.png,274,1254
B2,146993205,slice_125.png,276,1262
B2,146993201,slice_126.png,277,1270
B2,146993197,slice_127.png,278,1278
B2,146993193,slice_128.png,280,1286
B2,146993189,slice_129.png,282,1294
B2,146993185,slice_130.png,284,1302
B2,146993133,slice_131.png,286,1310
